,TRACTNUM,TRACT,SevCrwd,TeenBirthProportion,TeenBirthAllWom,SingMother,MaltrtAllegRate,FosterCareEntry,TotalPov,ChildPov,ProxOffAlco,ProxOnAlco,HghSchOrHigh,TraffInjur,SNAP_FdStmp,PovertyRt,VoterPartic,TotalPopulation,ZIP,City,Longitude,Latitude,CES20Score,CES20PercentileRange,PollutionBurdenScore,PollutionBurdenPctl,LowBirthWeight,LowBirthWeightPctl,Education,EducationPctl,Poverty,PovertyPctl,Unemployment,UnemploymentPctl,PopCharScore,PopCharPctl,NeighborhoodName,n_FoodDesert,pct_FoodDesert,LiqCount,Uninsured
541,6073009604,96.04,0.0,0.0,0.0,0.13992095,15.3,0.0,15.8,18.299999,37.181503,35.262661,88.400002,22.73,0.026086956,0.20999999,67.4809159999999,3179.0,92120.0,San Diego,-117.09172609999999,32.7867685,26.2012166957972,56-60%,5.72320411181419,67.4548848786559,0.0516323,60.182636977733296,12.6,44.551322617390205,28.1829419,43.5380153826756,6.64,18.353301045118503,4.5780678417026905,41.0886742756804,Grantville,242.53700130000001,0.390558778,353.22222999999997,0.010565568999999999
542,6073017010,170.1,0.0080000004,0.0,0.0,0.013948498,25.299999,0.0,1.3,1.7,9.1053295,0.82487309,95.5,20.280001000000002,0.008583691,0.02,70.7165109,3152.0,92064.0,Poway,-116.99097350000001,32.960014799999996,8.769833281765049,6-10%,4.00526098867796,29.9191039203485,0.0520561,64.398298724043,4.8,18.061004936084,5.491831769,1.90392132139705,4.37,5.365791486107571,2.18957848353841,4.71591621723316,Poway,0.0,0.0,,0.01048218
543,6073008331,83.31,0.0,0.0,0.0,0.077267639,24.0,0.0,4.0,2.0999999,17.234388,51.581509000000004,98.699997,,0.0033594626,0.064999998,73.90691109999999,2466.0,92130.0,San Diego,-117.22410579999999,32.9426037,5.13752473005887,1-5% (lowest scores),3.98768395277232,29.4461729931549,0.0487496,25.419064298223702,2.0,5.429692443994429,10.4111656,8.92699533476232,3.88,3.58144277338771,1.28834802128367,0.451523893139345,Del Mar Heights,216.39686260000002,0.311362392,,0.010184836
544,6073013701,137.01,0.0,0.0,0.0,0.024636058,47.700001,0.0,3.2,1.8,26.615646,26.615646,97.199997,7.650000099999999,0.035834267999999996,0.055,76.0458839,2352.0,91941.0,La Mesa,-116.9918436,32.7561469,18.1350807056307,36-40%,3.94901447377991,28.6869943995022,0.0506106,47.585689266950205,4.1,14.896848500189801,11.91170346,11.4361366788551,10.74,52.345144022431796,4.5923054539408,41.352063213345,Casa De Oro,339.3441923,0.712907967,,0.010139417
545,6073020103,201.03,0.0,0.0,0.0,0.04831199,43.599998,0.80000001,6.1999998,4.9000001,4.1719589,4.2305813,89.599998,30.98,0.0,0.079000004,67.17013890000001,10235.0,92027.0,Escondido,-117.05572,33.1878229,17.952396694142603,31-35%,5.169224428443281,55.556938394524,0.0506479,48.073555166374796,7.5,29.059612707252196,14.84504032,17.6144244105409,10.07,46.7371909253123,3.4729381443299,22.513483005142398,Vista Verde Estates Mh,0.0,0.0,,0.010136451999999999
546,6073019808,198.08,0.0,0.0,0.0,0.031781558,,0.0,2.3,0.0,19.463086999999998,0.0,96.099998,4.7399998,0.0,0.06199999900000001,79.27377890000001,4321.0,92056.0,Oceanside,-117.2628851,33.162093199999994,10.2886812221447,11-15%,2.6789827138943396,6.78282514001245,0.0507934,50.0,4.1,14.896848500189801,21.03552357,30.450132391879997,6.22,15.1414733622228,3.84051795809777,28.997867803838002,Ocean Hills,76.20803539,0.13780838199999998,,0.01011051
547,6073015602,156.02,0.0,0.0,0.0,0.019710906,62.099998,0.0,2.0999999,3.5999999,2.1687696,,91.699997,15.61,0.013140605,0.041000001,71.0900474,2536.0,92019.0,El Cajon,-116.90692890000001,32.794632,6.97732925184413,1-5% (lowest scores),2.49363590079279,4.81642812694462,0.049493699999999995,33.112334250688,4.7,17.643336286546,8.54597002799999,5.686546463245491,9.23,39.7782309457048,2.7980545394080494,11.626740248338098,Granite Hills,414.9405082,0.864459392,,0.010089686
548,6073017055,170.55,0.0,0.0,0.0,0.048983846,,0.0,1.2,0.0,24.056173,45.431332,99.099998,7.5,0.0,0.0099999998,64.7908182,5483.0,92128.0,San Diego,-117.072852,32.979474800000006,8.64316252960611,6-10%,3.0794966906684103,12.0721841941506,0.05353630000000001,77.4580935701776,2.8,8.78369826604227,4.4183773219999996,1.09696129113605,9.28999999999999,40.3900076472088,2.80668024609245,11.727078891258,Sabre Springs,425.90372360000003,0.293524275,1370.75,0.009915014
549,6073008349,83.49,0.0080000004,0.40909091,0.01171875,0.043343652,44.700001,1.4,4.6999998,6.6999998,43.198634999999996,54.467842000000005,82.900002,41.48,0.039215688,0.059000000000000004,60.8584241,3514.0,92126.0,San Diego,-117.1487913,32.91668789999999,15.0678446163097,26-30%,3.0374330254321498,11.537025513379,0.055032000000000005,85.839379534651,17.9,56.3219845589166,21.09419064,30.551002395662604,10.01,46.2401223553403,4.96071666112404,47.1466198419666,Mira Mesa,298.367048,0.40049268200000004,3514.0,0.009895392
550,6073016610,166.1,0.0,0.0,0.0,0.051553674,61.099998,0.0,0.80000001,0.0,54.84026,29.642084000000004,95.099998,15.12,0.024011299,0.030999999,64.8484847999999,4163.0,92071.0,Santee,-116.98002240000001,32.8584892,7.831776187505819,6-10%,3.5272868329817904,19.751088985687602,0.043981599999999996,1.7888416312234199,8.3,31.7554739906341,14.99503476,17.9800781742529,10.34,48.8784093805761,2.22034003990688,4.9667628245327995,Carlton Hills,289.8797743,0.26643361600000004,,0.009878419
551,6073017021,170.21,0.0,0.0,0.0,0.051387463,16.4,0.0,1.8,0.0,5.5083413,4.8788165999999995,95.599998,67.910004,0.0,0.022000000000000002,76.99724520000001,3177.0,92065.0,Ramona,-116.9890364,33.00404210000001,5.26622104245668,1-5% (lowest scores),3.60026183722453,21.294337274424397,0.0505038,45.9969977483112,2.7,8.40399949373497,3.014370838,0.34043626276635996,3.73,3.17359163905175,1.4627327901563,0.877963125548727,Rock Haven,0.0,0.0,,0.009759498
552,6073008361,83.61,0.024,,0.0,0.031490553,,0.0,42.099998,28.700001,96.10144,100.0,96.199997,7.1999998,0.018194541,0.479,61.7397998,2642.0,92037.0,La Jolla,-117.23414640000001,32.8680044,18.4093377473638,36-40%,4.072417387931241,31.3130056004978,0.0541936,81.5861896422317,0.6,0.670801164409568,58.41981922,84.0499306518724,19.27,91.9831761407086,4.52049384768873,40.1981688197667,La Jolla Shores,0.0,0.0,,0.009488309
553,6073000201,2.01,0.0,0.0,0.0,0.0,,0.0,7.099999900000001,0.0,83.509163,97.001663,93.699997,12.0,0.0089552235,0.039000001,63.4630053,1801.0,92103.0,San Diego,-117.17337749999999,32.7540028,14.114844292693698,21-25%,3.8730089461051698,26.8699439950218,0.0476452,15.3365023767826,4.8,18.061004936084,21.08307045,30.5383936451898,7.28,23.145551873566102,3.64441303624875,25.4483883105481,Mission Hills,115.70799450000001,0.49028811200000005,900.5,0.009463721999999999
554,6073009504,95.04,0.0049999999,0.0,0.0,0.09989429300000001,24.0,0.0,6.6999998,10.1,,,95.800003,3.8099998999999998,0.019027485,0.027000001000000003,71.0380925,5914.0,92071.0,Santee,-117.0284232,32.9019274,8.83737409490349,6-10%,3.7829417897059203,25.0404480398258,0.0547957,84.6634976232174,4.4,16.4662700923934,7.9600386720000005,4.86697768251166,4.79,7.086413459087431,2.33611157299634,6.10811488774614,Poway Grove,0.0,0.0,,0.00913689
555,6073017306,173.06,0.0,0.0,0.0,0.015873017,10.0,0.0,2.8,0.0,11.603974000000001,36.799149,99.5,35.599998,0.0,0.027000001000000003,76.99805069999991,2818.0,92014.0,Del Mar,-117.2402519,32.989035,9.83038911934976,11-15%,4.62348776880743,43.658991910392,0.047588599999999995,14.8111083312484,1.2,2.2149095051259304,5.553442373999999,1.99218257470685,6.27,15.4983431047668,2.12618473561689,4.25184999372883,Eden Gardens,264.2323205,0.513072467,939.33331,0.009128946
556,6073017030,170.3,0.0020000001,0.0,0.0,0.07075962400000001,24.700001,0.89999998,5.6999998,6.0,9.769105,10.519221,97.900002,12.22,0.018383628,0.028000001,65.4640345,17064.0,92127.0,San Diego,-117.12267240000001,33.031017999999996,11.9358050112123,16-20%,4.95539069508086,50.8774113254511,0.0476897,15.5616712534401,3.6,12.403493228705198,4.918772563,1.55087630815786,5.81,12.452204945195,2.40865064848686,6.935908691834941,Del Dios,3802.0063990000003,0.7510877909999999,,0.009111488000000001
557,6073018803,188.03,0.0099999998,0.0,0.0,0.039544638,45.0,0.0,8.3999996,11.9,0.0,0.0,91.900002,216.10001,0.034152187,0.077,74.797048,4564.0,92003.0,Bonsall,-117.19044609999999,33.2857623,17.3698794978017,31-35%,4.02805052488666,30.3795892968264,0.0520357,64.135601701276,8.4,32.1604860144285,22.0,32.354053713277004,8.42,32.85750700994139,4.31222979714001,37.012416907061294,Bonsall,0.0,0.0,,0.008837209
558,6073011000,110.0,0.0,0.0,0.0,0.033930857,27.9,0.0,11.1,2.0,36.477314,81.243301,91.900002,52.299999,0.0064020487,0.045000002000000004,71.95371,2799.0,92118.0,Coronado,-117.170224,32.6938849,10.7048872835157,11-15%,3.95616650907945,28.873677660236503,0.0506548,48.273705278959206,1.6,3.68307809138084,7.607973422000001,4.3626276635985395,6.16,14.759112923782801,2.7058737944795497,10.4853881851248,Coronado,0.0,0.0,,0.00867052
559,6073021204,212.04,0.015,1.0,0.011316872,0.054545455,39.400002,0.0,3.9000001,7.5,3.6457337999999995,4.905516099999999,90.5,47.130001,0.015909091,0.035999998,73.877551,5239.0,91901.0,Alpine,-116.76413219999999,32.807883399999994,7.81457753870445,6-10%,3.9315586588115496,28.2887367766024,0.0497457,36.389792344258204,9.0,34.0210099987343,9.49145563099999,7.42655402849578,4.8,7.13739485087943,1.98765380778184,3.23592123416531,Alpine Heights,1041.511411,0.893234486,,0.00866158
560,6073008363,83.63,0.025,0.0,0.0,0.060923371,,0.0,33.099998,1.6,46.799431,46.799431,99.300003,4.190000100000001,0.018562588999999997,0.29899999,45.8727158,4921.0,92122.0,San Diego,-117.2229262,32.8654716,6.85618878922165,1-5% (lowest scores),2.79026353431765,8.06471686372122,0.051481500000000006,58.59394545909429,0.9,1.31628907733198,35.97060095,56.0837221031396,3.77,3.30104511853174,2.45718323910875,7.50031355825913,University City,0.0,0.0,,0.00843061
561,6073007200,72.0,0.0,0.0,0.0,0.045602605,16.700001,0.0,3.4000001,1.6,19.552156,4.3509922,99.0,11.58,0.0065146578,0.048999999,74.3113587,5493.0,92106.0,San Diego,-117.25331740000001,32.7215901,4.42189607521435,1-5% (lowest scores),2.80723446553689,8.326073428749218,0.0464344,8.456342256692519,1.7,4.10074674091887,11.84544992,11.310049174126801,9.35,40.9380576089727,1.5751787495843,1.32948701868807,Riviera Villas,265.4014844,0.33552652899999996,,0.008410573000000001
562,6073009202,92.02,0.0,0.0,0.0,0.019079685,46.799999,0.0,3.7,2.5,30.329720000000002,44.963867,94.300003,30.82,0.011784511999999999,0.052000001,65.7334385,4428.0,92123.0,San Diego,-117.1428842,32.7860364,17.563076790142,31-35%,5.544766892137611,63.4474175482265,0.0507291,49.09932449337,7.0,27.1611188457157,15.05296871,18.1061656789812,2.75,1.3764975783838898,3.16750498836049,17.3335005644049,Serra Mesa,671.2143863,0.9033841,2214.0,0.008241051
563,6073008303,83.03,0.0,0.0,0.0,0.015647227,27.799999,0.0,6.0,2.5999999,34.097504,2.9019152999999998,99.099998,33.240002000000004,0.0,0.050999999000000004,77.2638943,3446.0,92037.0,La Jolla,-117.2571877,32.8407682,8.84754878505781,6-10%,3.3036342036996604,15.4698195395146,0.049906900000000004,38.316237177883394,1.1,1.8478673585622098,11.50949081,10.7678729037952,4.91,7.71093550853938,2.67812603924177,10.0338642919855,Easter Cross,520.3686403,0.911328617,,0.00813498
564,6073017403,174.03,0.003,0.0,0.0,0.020876827,30.0,0.0,6.1999998,1.2,19.910606,21.353109,95.900002,36.540001000000004,0.012004175,0.071999997,76.4722617,4922.0,92024.0,Encinitas,-117.25295320000001,33.0362413,17.5093098042647,31-35%,5.26389798045918,57.57311761045429,0.0485883,23.605203902927197,5.9,22.8325528414125,14.31497031,16.2400706090027,10.97,54.2696915625797,3.32630113069504,19.8043396463063,Olivenhain,594.9684737000001,0.648113806,,0.007955936
565,6073021302,213.02,0.0,0.0,0.0,0.0042979941,64.5,3.9000001,14.9,22.299999,0.63850021,,81.099998,106.88,0.0085959882,0.125,69.4422311,7361.0,91935.0,Jamul,-116.78185069999999,32.6637754,13.4757214261308,21-25%,3.36618420733629,16.6894835096453,0.054423599999999996,82.8621466099575,20.8,61.650423996962395,18.99862826,26.2892447358467,10.83,53.058883507519795,4.0032632191553,32.0832810736235,Dulzura,38.32364085,0.034998759,,0.007837713
566,6073021304,213.04,0.0070000002,0.0,0.0,0.036649216,35.0,0.0,3.3,1.7,0.076452598,0.0,91.900002,75.410004,0.036649216,0.046999998,73.73794670000001,2616.0,91935.0,Jamul,-116.86871119999999,32.684791600000004,8.89719346036788,6-10%,3.40461124445414,17.4611076540137,0.051030400000000004,52.9522141606205,7.5,29.059612707252196,11.05973025,9.99873912495272,8.28999999999999,31.7231710425695,2.61327735284337,9.18098582716669,Jamul Indian Village,0.0,0.0,,0.00764526
567,6073008343,83.43,0.0,0.0,0.0,0.031408306000000004,40.700001,0.0,26.9,0.0,25.724874,30.194027000000002,96.5,,0.0035460991999999997,0.35600001,52.9561672,4587.0,92122.0,San Diego,-117.2175882,32.862655100000005,7.5249377686498,6-10%,2.55958009067326,5.45115121344119,0.049465300000000004,32.7745809357018,4.7,17.643336286546,48.98332656,73.29466649855,5.74,12.095335202651,2.93991104090456,13.796563401479998,University City,0.0,0.0,,0.007523383000000001
568,6073016615,166.15,0.012,0.0,0.0,0.19378883,56.099998,0.0,5.1999998,2.7,49.983654,53.285389,70.199997,10.22,0.050931677,0.08500000099999999,62.2112211,3059.0,92071.0,Santee,-116.97956529999999,32.8477575,20.470310035507698,41-45%,4.9802409872233095,51.337896701929104,0.0521259,65.086314736052,15.4,51.0441716238451,28.55871886,44.16845290631699,12.76,66.6836604639307,4.11030512138344,34.039884610560605,New Frontier Mh Park,186.7661615,0.30123574399999997,,0.007246376999999999
569,6073017042,170.42,0.0,0.0,0.0,0.088914551,15.4,0.0,3.2,2.2,31.109416999999997,29.419240999999996,97.099998,22.1,0.0088529643,0.022000000000000002,65.0967199,7869.0,92128.0,San Diego,-117.08541070000001,32.940301500000004,6.36774091224129,1-5% (lowest scores),4.16115111402041,33.2420659614188,0.0468434,10.407805854390801,2.2,6.50550563219846,5.8323494689999995,2.35783633841886,3.9,3.63242416517971,1.5302835051546397,1.1538943935783301,Sabre Springs,2277.9538,0.905027334,3934.5,0.0070405730000000005
