,school,conference,position,height
2251,St. Bonaventure University,Atlantic 10 Conference,F,6-1
2252,St. Bonaventure University,Atlantic 10 Conference,F,5-11
2253,St. Bonaventure University,Atlantic 10 Conference,G,5-9
2254,St. Bonaventure University,Atlantic 10 Conference,G,5-9
2255,St. Bonaventure University,Atlantic 10 Conference,F,6-0
2256,St. Bonaventure University,Atlantic 10 Conference,,-
2257,Southern University,Southwestern Athletic Conf.,F,6-2
2258,Southern University,Southwestern Athletic Conf.,G,5-7
2259,Southern University,Southwestern Athletic Conf.,G,5-10
2260,Southern University,Southwestern Athletic Conf.,G,5-11
2261,Southern University,Southwestern Athletic Conf.,F,6-0
2262,Southern University,Southwestern Athletic Conf.,G,5-5
2263,Southern University,Southwestern Athletic Conf.,F,6-1
2264,Southern University,Southwestern Athletic Conf.,F,6-3
2265,Southern University,Southwestern Athletic Conf.,G,5-7
2266,Southern University,Southwestern Athletic Conf.,G,6-0
2267,Southern University,Southwestern Athletic Conf.,F,5-10
2268,Southern University,Southwestern Athletic Conf.,G,5-5
2269,Southern University,Southwestern Athletic Conf.,G,5-10
2270,Southern University,Southwestern Athletic Conf.,G,-
2271,Southern Utah University,Big Sky Conference,F,6-1
2272,Southern Utah University,Big Sky Conference,G,6-0
2273,Southern Utah University,Big Sky Conference,C,6-4
2274,Southern Utah University,Big Sky Conference,G,5-5
2275,Southern Utah University,Big Sky Conference,G,5-10
2276,Southern Utah University,Big Sky Conference,F,5-11
2277,Southern Utah University,Big Sky Conference,G,5-8
2278,Southern Utah University,Big Sky Conference,G,5-11
2279,Southern Utah University,Big Sky Conference,G,5-9
2280,Southern Utah University,Big Sky Conference,F,5-11
2281,Southern Utah University,Big Sky Conference,G,5-10
2282,Southern Utah University,Big Sky Conference,F,6-1
2283,Southern Utah University,Big Sky Conference,G,5-10
2284,The University of Southern Mississippi,Conference USA,G,5-10
2285,The University of Southern Mississippi,Conference USA,G,5-8
2286,The University of Southern Mississippi,Conference USA,G,5-11
2287,The University of Southern Mississippi,Conference USA,G,5-5
2288,The University of Southern Mississippi,Conference USA,G,5-7
2289,The University of Southern Mississippi,Conference USA,G,5-6
2290,The University of Southern Mississippi,Conference USA,G,5-4
2291,The University of Southern Mississippi,Conference USA,F,6-3
2292,The University of Southern Mississippi,Conference USA,F,5-11
2293,The University of Southern Mississippi,Conference USA,F,6-0
2294,The University of Southern Mississippi,Conference USA,F,6-3
2295,The University of Southern Mississippi,Conference USA,F,4-10
2296,The University of Southern Mississippi,Conference USA,C,6-6
2297,The University of Southern Mississippi,Conference USA,G,5-8
2298,Southern Illinois University,Missouri Valley Conference,F,5-11
2299,Southern Illinois University,Missouri Valley Conference,G,6-1
2300,Southern Illinois University,Missouri Valley Conference,G,5-9
2301,Southern Illinois University,Missouri Valley Conference,F,5-11
2302,Southern Illinois University,Missouri Valley Conference,G,5-6
2303,Southern Illinois University,Missouri Valley Conference,G,5-5
2304,Southern Illinois University,Missouri Valley Conference,F,6-1
2305,Southern Illinois University,Missouri Valley Conference,G,5-11
2306,Southern Illinois University,Missouri Valley Conference,C,6-1
2307,Southern Illinois University,Missouri Valley Conference,F,6-2
2308,Southern Illinois University,Missouri Valley Conference,G,5-7
2309,Southern Illinois University,Missouri Valley Conference,G,5-7
2310,Southern Illinois University,Missouri Valley Conference,F,6-0
2311,Southern Illinois University,Missouri Valley Conference,F,6-0
2312,University of Southern California,Pac-12 Conference,G,6-1
2313,University of Southern California,Pac-12 Conference,G,6-1
2314,University of Southern California,Pac-12 Conference,G,5-7
2315,University of Southern California,Pac-12 Conference,G,5-6
2316,University of Southern California,Pac-12 Conference,G,5-9
2317,University of Southern California,Pac-12 Conference,F,6-4
2318,University of Southern California,Pac-12 Conference,F,6-1
2319,University of Southern California,Pac-12 Conference,G,5-8
2320,University of Southern California,Pac-12 Conference,G,5-10
2321,University of Southern California,Pac-12 Conference,F,6-2
2322,University of Southern California,Pac-12 Conference,F,6-1
2323,University of Southern California,Pac-12 Conference,F,6-1
2324,Southeastern Louisiana University,Southland Conference,G,5-8
2325,Southeastern Louisiana University,Southland Conference,G,5-9
2326,Southeastern Louisiana University,Southland Conference,F,6-2
2327,Southeastern Louisiana University,Southland Conference,F,5-11
2328,Southeastern Louisiana University,Southland Conference,G,5-9
2329,Southeastern Louisiana University,Southland Conference,G,5-10
2330,Southeastern Louisiana University,Southland Conference,F,5-10
2331,Southeastern Louisiana University,Southland Conference,G,5-4
2332,Southeastern Louisiana University,Southland Conference,F,6-1
2333,Southeastern Louisiana University,Southland Conference,F,6-1
2334,Southeastern Louisiana University,Southland Conference,G,5-3
2335,Southeastern Louisiana University,Southland Conference,G,5-7
2336,Southeastern Louisiana University,Southland Conference,G,5-8
2337,Southeast Missouri State University,Ohio Valley Conference,F,5-11
2338,Southeast Missouri State University,Ohio Valley Conference,G,5-7
2339,Southeast Missouri State University,Ohio Valley Conference,G,5-10
2340,Southeast Missouri State University,Ohio Valley Conference,G,5-9
2341,Southeast Missouri State University,Ohio Valley Conference,F,6-0
2342,Southeast Missouri State University,Ohio Valley Conference,F,5-11
2343,Southeast Missouri State University,Ohio Valley Conference,F,6-2
2344,Southeast Missouri State University,Ohio Valley Conference,G,5-11
2345,Southeast Missouri State University,Ohio Valley Conference,F,6-1
2346,Southeast Missouri State University,Ohio Valley Conference,G,5-7
2347,Southeast Missouri State University,Ohio Valley Conference,G,5-6
2348,Southeast Missouri State University,Ohio Valley Conference,G,5-9
2349,Southeast Missouri State University,Ohio Valley Conference,G,5-7
2350,Southeast Missouri State University,Ohio Valley Conference,G,5-8
2351,University of South Carolina Upstate,Atlantic Sun Conference,G,5-11
2352,University of South Carolina Upstate,Atlantic Sun Conference,G,5-9
2353,University of South Carolina Upstate,Atlantic Sun Conference,G,5-8
2354,University of South Carolina Upstate,Atlantic Sun Conference,G,5-7
2355,University of South Carolina Upstate,Atlantic Sun Conference,C,6-1
2356,University of South Carolina Upstate,Atlantic Sun Conference,G,5-7
2357,University of South Carolina Upstate,Atlantic Sun Conference,G,5-7
2358,University of South Carolina Upstate,Atlantic Sun Conference,F,6-0
2359,University of South Carolina Upstate,Atlantic Sun Conference,G,5-9
2360,University of South Carolina Upstate,Atlantic Sun Conference,G,5-9
2361,University of South Carolina Upstate,Atlantic Sun Conference,F,6-0
2362,University of South Carolina Upstate,Atlantic Sun Conference,G,5-9
2363,University of South Carolina Upstate,Atlantic Sun Conference,C,6-2
2364,University of South Carolina Upstate,Atlantic Sun Conference,G,5-5
2365,University of South Carolina Upstate,Atlantic Sun Conference,C,6-0
2366,University of South Florida,American Athletic Conference,G,5-5
2367,University of South Florida,American Athletic Conference,C,6-4
2368,University of South Florida,American Athletic Conference,F,5-11
2369,University of South Florida,American Athletic Conference,G,5-7
2370,University of South Florida,American Athletic Conference,F,6-1
2371,University of South Florida,American Athletic Conference,F,6-0
2372,University of South Florida,American Athletic Conference,G,5-8
2373,University of South Florida,American Athletic Conference,G,5-8
2374,University of South Florida,American Athletic Conference,G,5-8
2375,University of South Florida,American Athletic Conference,G,5-9
2376,University of South Florida,American Athletic Conference,G,5-7
2377,University of South Florida,American Athletic Conference,G,6-1
2378,University of South Florida,American Athletic Conference,G,5-6
2379,University of South Florida,American Athletic Conference,G,5-10
2380,University of South Florida,American Athletic Conference,C,6-3
2381,University of South Florida,American Athletic Conference,C,6-5
2382,University of South Florida,American Athletic Conference,G,5-8
2383,South Dakota State University,The Summit League,G,5-7
2384,South Dakota State University,The Summit League,G,5-8
2385,South Dakota State University,The Summit League,F,6-1
2386,South Dakota State University,The Summit League,G,5-8
2387,South Dakota State University,The Summit League,C,6-2
2388,South Dakota State University,The Summit League,G,6-0
2389,South Dakota State University,The Summit League,C,6-2
2390,South Dakota State University,The Summit League,G,6-0
2391,South Dakota State University,The Summit League,F,6-0
2392,South Dakota State University,The Summit League,F,6-2
2393,South Dakota State University,The Summit League,F,6-1
2394,South Dakota State University,The Summit League,G,6-1
2395,South Dakota State University,The Summit League,F,6-0
2396,South Dakota State University,The Summit League,F,6-0
2397,University of South Dakota,The Summit League,F,6-0
2398,University of South Dakota,The Summit League,G,5-7
2399,University of South Dakota,The Summit League,G,5-8
2400,University of South Dakota,The Summit League,G,5-10
2401,University of South Dakota,The Summit League,G,5-7
2402,University of South Dakota,The Summit League,C,6-1
2403,University of South Dakota,The Summit League,F,6-1
2404,University of South Dakota,The Summit League,C,6-2
2405,University of South Dakota,The Summit League,G,5-10
2406,University of South Dakota,The Summit League,F,5-10
2407,University of South Dakota,The Summit League,G,6-0
2408,University of South Carolina,Southeastern Conference,G,6-0
2409,University of South Carolina,Southeastern Conference,C,6-4
2410,University of South Carolina,Southeastern Conference,G,5-6
2411,University of South Carolina,Southeastern Conference,G,5-7
2412,University of South Carolina,Southeastern Conference,G,6-0
2413,University of South Carolina,Southeastern Conference,G,5-8
2414,University of South Carolina,Southeastern Conference,F,6-0
2415,University of South Carolina,Southeastern Conference,G,5-7
2416,University of South Carolina,Southeastern Conference,C,6-4
2417,University of South Carolina,Southeastern Conference,G,5-9
2418,University of South Carolina,Southeastern Conference,G,5-11
2419,University of South Carolina,Southeastern Conference,G,5-8
2420,University of South Carolina,Southeastern Conference,F,6-0
2421,University of South Carolina,Southeastern Conference,F,6-4
2422,University of South Carolina,Southeastern Conference,G,6-5
2423,University of South Alabama,Sun Belt Conference,F,6-1
2424,University of South Alabama,Sun Belt Conference,G,5-9
2425,University of South Alabama,Sun Belt Conference,G,5-7
2426,University of South Alabama,Sun Belt Conference,G,5-9
2427,University of South Alabama,Sun Belt Conference,C,6-2
2428,University of South Alabama,Sun Belt Conference,F,5-10
2429,University of South Alabama,Sun Belt Conference,F,6-1
2430,University of South Alabama,Sun Belt Conference,G,5-8
2431,University of South Alabama,Sun Belt Conference,F,6-0
2432,University of South Alabama,Sun Belt Conference,F,6-0
2433,University of South Alabama,Sun Belt Conference,G,5-8
2434,University of South Alabama,Sun Belt Conference,G,5-8
2435,University of South Alabama,Sun Belt Conference,F,6-0
2436,University of South Alabama,Sun Belt Conference,G,5-2
2437,University of South Alabama,Sun Belt Conference,G,5-6
2438,Southern Methodist University,American Athletic Conference,G,5-6
2439,Southern Methodist University,American Athletic Conference,F,5-11
2440,Southern Methodist University,American Athletic Conference,,-
2441,Southern Methodist University,American Athletic Conference,G,5-8
2442,Southern Methodist University,American Athletic Conference,F,6-3
2443,Southern Methodist University,American Athletic Conference,F,6-2
2444,Southern Methodist University,American Athletic Conference,F,6-0
2445,Southern Methodist University,American Athletic Conference,,-
2446,Southern Methodist University,American Athletic Conference,G,5-10
2447,Southern Methodist University,American Athletic Conference,G,5-8
2448,Southern Methodist University,American Athletic Conference,G,5-11
2449,Southern Methodist University,American Athletic Conference,G,5-9
2450,South Carolina State University,Mid-Eastern Athletic Conf.,F,6-1
2451,South Carolina State University,Mid-Eastern Athletic Conf.,F,6-0
2452,South Carolina State University,Mid-Eastern Athletic Conf.,G,5-10
2453,South Carolina State University,Mid-Eastern Athletic Conf.,F,6-2
2454,South Carolina State University,Mid-Eastern Athletic Conf.,F,5-11
2455,South Carolina State University,Mid-Eastern Athletic Conf.,G,5-4
2456,South Carolina State University,Mid-Eastern Athletic Conf.,C,6-2
2457,South Carolina State University,Mid-Eastern Athletic Conf.,G,5-10
2458,South Carolina State University,Mid-Eastern Athletic Conf.,G,5-10
2459,South Carolina State University,Mid-Eastern Athletic Conf.,G,5-10
2460,South Carolina State University,Mid-Eastern Athletic Conf.,G,6-0
2461,South Carolina State University,Mid-Eastern Athletic Conf.,G,5-9
2462,Southern Illinois Univ.-Edwardsville ,Ohio Valley Conference,F,5-11
2463,Southern Illinois Univ.-Edwardsville ,Ohio Valley Conference,G,5-9
2464,Southern Illinois Univ.-Edwardsville ,Ohio Valley Conference,G,5-9
2465,Southern Illinois Univ.-Edwardsville ,Ohio Valley Conference,G,5-7
2466,Southern Illinois Univ.-Edwardsville ,Ohio Valley Conference,G,5-6
2467,Southern Illinois Univ.-Edwardsville ,Ohio Valley Conference,F,6-0
2468,Southern Illinois Univ.-Edwardsville ,Ohio Valley Conference,F,6-1
2469,Southern Illinois Univ.-Edwardsville ,Ohio Valley Conference,G,5-8
2470,Southern Illinois Univ.-Edwardsville ,Ohio Valley Conference,G,5-7
2471,Southern Illinois Univ.-Edwardsville ,Ohio Valley Conference,G,5-8
2472,Southern Illinois Univ.-Edwardsville ,Ohio Valley Conference,C,6-4
2473,Southern Illinois Univ.-Edwardsville ,Ohio Valley Conference,F,5-11
2474,Southern Illinois Univ.-Edwardsville ,Ohio Valley Conference,G,5-8
2475,Siena College,Metro Atlantic Athletic Conference,F,6-0
2476,Siena College,Metro Atlantic Athletic Conference,G,5-9
2477,Siena College,Metro Atlantic Athletic Conference,F,6-2
2478,Siena College,Metro Atlantic Athletic Conference,F,6-0
2479,Siena College,Metro Atlantic Athletic Conference,G,5-6
2480,Siena College,Metro Atlantic Athletic Conference,F,5-11
2481,Siena College,Metro Atlantic Athletic Conference,F,6-2
2482,Siena College,Metro Atlantic Athletic Conference,G,6-0
2483,Siena College,Metro Atlantic Athletic Conference,G,5-5
2484,Siena College,Metro Atlantic Athletic Conference,G,5-10
2485,Siena College,Metro Atlantic Athletic Conference,G,5-10
2486,Siena College,Metro Atlantic Athletic Conference,G,5-10
2487,Siena College,Metro Atlantic Athletic Conference,G,5-8
2488,Seton Hall University,Big East Conference,F,6-0
2489,Seton Hall University,Big East Conference,G,5-4
2490,Seton Hall University,Big East Conference,F,5-10
2491,Seton Hall University,Big East Conference,C,6-5
2492,Seton Hall University,Big East Conference,C,6-4
2493,Seton Hall University,Big East Conference,G,5-9
2494,Seton Hall University,Big East Conference,F,6-1
2495,Seton Hall University,Big East Conference,F,6-3
2496,Seton Hall University,Big East Conference,F,6-2
2497,Seton Hall University,Big East Conference,G,6-1
2498,Seton Hall University,Big East Conference,C,6-2
2499,Seton Hall University,Big East Conference,G,5-10
2500,Seton Hall University,Big East Conference,F,6-0
2501,Seton Hall University,Big East Conference,G,5-10
2502,Seton Hall University,Big East Conference,G,5-8
2503,Seattle University,Western Athletic Conference,F,6-0
2504,Seattle University,Western Athletic Conference,G,5-8
2505,Seattle University,Western Athletic Conference,G,6-0
2506,Seattle University,Western Athletic Conference,G,5-8
2507,Seattle University,Western Athletic Conference,F,6-0
2508,Seattle University,Western Athletic Conference,G,5-6
2509,Seattle University,Western Athletic Conference,F,6-1
2510,Seattle University,Western Athletic Conference,G,5-7
2511,Seattle University,Western Athletic Conference,G,6-0
2512,Seattle University,Western Athletic Conference,G,5-9
2513,Seattle University,Western Athletic Conference,G,5-10
2514,Seattle University,Western Athletic Conference,G,5-5
2515,Seattle University,Western Athletic Conference,C,6-2
2516,Seattle University,Western Athletic Conference,G,5-10
2517,Seattle University,Western Athletic Conference,G,5-11
2518,Savannah State University,Mid-Eastern Athletic Conf.,G,5-8
2519,Savannah State University,Mid-Eastern Athletic Conf.,F,5-10
2520,Savannah State University,Mid-Eastern Athletic Conf.,F,6-2
2521,Savannah State University,Mid-Eastern Athletic Conf.,C,6-2
2522,Savannah State University,Mid-Eastern Athletic Conf.,G,5-7
2523,Savannah State University,Mid-Eastern Athletic Conf.,G,5-5
2524,Savannah State University,Mid-Eastern Athletic Conf.,F,6-2
2525,Savannah State University,Mid-Eastern Athletic Conf.,G,5-10
2526,Savannah State University,Mid-Eastern Athletic Conf.,G,5-9
2527,Savannah State University,Mid-Eastern Athletic Conf.,G,5-8
2528,Savannah State University,Mid-Eastern Athletic Conf.,G,5-7
2529,Savannah State University,Mid-Eastern Athletic Conf.,G,5-9
2530,Savannah State University,Mid-Eastern Athletic Conf.,F,6-0
2531,Savannah State University,Mid-Eastern Athletic Conf.,G,5-8
2532,Savannah State University,Mid-Eastern Athletic Conf.,G,5-8
2533,Savannah State University,Mid-Eastern Athletic Conf.,F,5-10
2534,Santa Clara University,West Coast Conference,F,6-3
2535,Santa Clara University,West Coast Conference,G,5-4
2536,Santa Clara University,West Coast Conference,G,5-9
2537,Santa Clara University,West Coast Conference,F,6-0
2538,Santa Clara University,West Coast Conference,F,6-1
2539,Santa Clara University,West Coast Conference,G,5-9
2540,Santa Clara University,West Coast Conference,G,5-7
2541,Santa Clara University,West Coast Conference,G,5-10
2542,Santa Clara University,West Coast Conference,F,6-3
2543,Santa Clara University,West Coast Conference,F,5-11
2544,Santa Clara University,West Coast Conference,F,6-2
2545,Santa Clara University,West Coast Conference,F,6-0
2546,Santa Clara University,West Coast Conference,G,5-11
2547,Santa Clara University,West Coast Conference,F,5-11
2548,Santa Clara University,West Coast Conference,G,5-4
2549,San Diego State University,Mountain West Conference,F,6-1
2550,San Diego State University,Mountain West Conference,G,5-4
2551,San Diego State University,Mountain West Conference,F,6-1
2552,San Diego State University,Mountain West Conference,G,5-7
2553,San Diego State University,Mountain West Conference,F,6-0
2554,San Diego State University,Mountain West Conference,G,5-7
2555,San Diego State University,Mountain West Conference,G,5-9
2556,San Diego State University,Mountain West Conference,G,5-8
2557,San Diego State University,Mountain West Conference,G,5-11
2558,San Diego State University,Mountain West Conference,G,5-6
2559,San Diego State University,Mountain West Conference,F,5-10
2560,San Diego State University,Mountain West Conference,F,6-1
2561,San Diego State University,Mountain West Conference,G,5-7
2562,San Diego State University,Mountain West Conference,F,6-2
2563,San Diego State University,Mountain West Conference,F,6-0
2564,University of San Francisco,West Coast Conference,F,5-11
2565,University of San Francisco,West Coast Conference,G,5-9
2566,University of San Francisco,West Coast Conference,G,5-7
2567,University of San Francisco,West Coast Conference,G,5-10
2568,University of San Francisco,West Coast Conference,G,5-7
2569,University of San Francisco,West Coast Conference,F,5-11
2570,University of San Francisco,West Coast Conference,F,6-0
2571,University of San Francisco,West Coast Conference,F,6-3
2572,University of San Francisco,West Coast Conference,F,6-1
2573,University of San Francisco,West Coast Conference,G,5-9
2574,University of San Francisco,West Coast Conference,G,5-9
2575,University of San Francisco,West Coast Conference,F,6-3
2576,University of San Francisco,West Coast Conference,F,6-0
2577,University of San Francisco,West Coast Conference,G,5-3
2578,University of San Francisco,West Coast Conference,G,5-10
2579,San Jose State University,Mountain West Conference,F,6-0
2580,San Jose State University,Mountain West Conference,G,5-9
2581,San Jose State University,Mountain West Conference,G,5-10
2582,San Jose State University,Mountain West Conference,F,6-1
2583,San Jose State University,Mountain West Conference,G,5-9
2584,San Jose State University,Mountain West Conference,G,5-8
2585,San Jose State University,Mountain West Conference,G,5-8
2586,San Jose State University,Mountain West Conference,F,6-0
2587,San Jose State University,Mountain West Conference,F,6-0
2588,San Jose State University,Mountain West Conference,F,6-0
2589,San Jose State University,Mountain West Conference,G,5-8
2590,San Jose State University,Mountain West Conference,F,6-2
2591,San Jose State University,Mountain West Conference,F,5-10
2592,San Jose State University,Mountain West Conference,G,5-10
2593,University of San Diego,West Coast Conference,F,6-1
2594,University of San Diego,West Coast Conference,F,6-3
2595,University of San Diego,West Coast Conference,G,5-9
2596,University of San Diego,West Coast Conference,G,6-8
2597,University of San Diego,West Coast Conference,G,5-10
2598,University of San Diego,West Coast Conference,F,5-10
2599,University of San Diego,West Coast Conference,G,6-0
2600,University of San Diego,West Coast Conference,G,5-9
2601,University of San Diego,West Coast Conference,F,6-1
2602,University of San Diego,West Coast Conference,C,6-2
2603,University of San Diego,West Coast Conference,G,5-9
2604,University of San Diego,West Coast Conference,F,6-1
2605,University of San Diego,West Coast Conference,G,5-6
2606,University of San Diego,West Coast Conference,F,6-0
2607,Samford University,Southern Conference,G,5-9
2608,Samford University,Southern Conference,F,6-0
2609,Samford University,Southern Conference,F,5-11
2610,Samford University,Southern Conference,G,5-9
2611,Samford University,Southern Conference,G,5-10
2612,Samford University,Southern Conference,G,5-10
2613,Samford University,Southern Conference,F,6-0
2614,Samford University,Southern Conference,F,6-3
2615,Samford University,Southern Conference,F,6-0
2616,Samford University,Southern Conference,G,5-3
2617,Samford University,Southern Conference,G,5-7
2618,Sam Houston State University,Southland Conference,G,5-7
2619,Sam Houston State University,Southland Conference,G,5-5
2620,Sam Houston State University,Southland Conference,C,6-3
2621,Sam Houston State University,Southland Conference,G,5-8
2622,Sam Houston State University,Southland Conference,,-
2623,Sam Houston State University,Southland Conference,G,5-6
2624,Sam Houston State University,Southland Conference,G,5-8
2625,Sam Houston State University,Southland Conference,G,5-6
2626,Sam Houston State University,Southland Conference,G,5-11
2627,Sam Houston State University,Southland Conference,F,6-1
2628,Sam Houston State University,Southland Conference,,-
2629,Sam Houston State University,Southland Conference,C,6-2
2630,Sam Houston State University,Southland Conference,G,5-6
2631,Sam Houston State University,Southland Conference,F,6-1
2632,Sam Houston State University,Southland Conference,,-
2633,Sam Houston State University,Southland Conference,F,5-11
2634,St. Mary's College (CA),West Coast Conference,F,6-2
2635,St. Mary's College (CA),West Coast Conference,G,6-0
2636,St. Mary's College (CA),West Coast Conference,C,6-3
2637,St. Mary's College (CA),West Coast Conference,G,5-8
2638,St. Mary's College (CA),West Coast Conference,F,6-0
2639,St. Mary's College (CA),West Coast Conference,F,6-1
2640,St. Mary's College (CA),West Coast Conference,G,5-11
2641,St. Mary's College (CA),West Coast Conference,G,5-9
2642,St. Mary's College (CA),West Coast Conference,G,5-11
2643,St. Mary's College (CA),West Coast Conference,F,5-9
2644,St. Mary's College (CA),West Coast Conference,F,5-10
2645,St. Mary's College (CA),West Coast Conference,G,6-0
2646,St. Mary's College (CA),West Coast Conference,F,6-3
2647,St. Mary's College (CA),West Coast Conference,G,5-11
2648,Saint Peter's University ,Metro Atlantic Athletic Conference,F,6-1
2649,Saint Peter's University ,Metro Atlantic Athletic Conference,G,5-3
2650,Saint Peter's University ,Metro Atlantic Athletic Conference,C,6-2
2651,Saint Peter's University ,Metro Atlantic Athletic Conference,G,4-0
2652,Saint Peter's University ,Metro Atlantic Athletic Conference,C,6-2
2653,Saint Peter's University ,Metro Atlantic Athletic Conference,F,6-2
2654,Saint Peter's University ,Metro Atlantic Athletic Conference,G,5-3
2655,Saint Peter's University ,Metro Atlantic Athletic Conference,C,6-1
2656,Saint Peter's University ,Metro Atlantic Athletic Conference,G,5-4
2657,Saint Peter's University ,Metro Atlantic Athletic Conference,G,5-5
2658,Saint Peter's University ,Metro Atlantic Athletic Conference,G,5-6
2659,Saint Peter's University ,Metro Atlantic Athletic Conference,F,5-7
2660,Saint Peter's University ,Metro Atlantic Athletic Conference,G,5-2
2661,Utah Valley University,Western Athletic Conference,G,5-9
2662,Utah Valley University,Western Athletic Conference,G,5-9
2663,Utah Valley University,Western Athletic Conference,G,5-8
2664,Utah Valley University,Western Athletic Conference,C,6-5
2665,Utah Valley University,Western Athletic Conference,F,6-1
2666,Utah Valley University,Western Athletic Conference,F,6-0
2667,Utah Valley University,Western Athletic Conference,F,6-3
2668,Utah Valley University,Western Athletic Conference,G,5-3
2669,Utah Valley University,Western Athletic Conference,G,6-3
2670,Utah Valley University,Western Athletic Conference,G,5-10
2671,Utah Valley University,Western Athletic Conference,G,5-7
2672,Utah Valley University,Western Athletic Conference,C,6-3
2673,Utah Valley University,Western Athletic Conference,F,6-0
2674,Sacred Heart University,Northeast Conference,G,5-6
2675,Sacred Heart University,Northeast Conference,G,5-6
2676,Sacred Heart University,Northeast Conference,F,6-0
2677,Sacred Heart University,Northeast Conference,F,6-2
2678,Sacred Heart University,Northeast Conference,F,5-10
2679,Sacred Heart University,Northeast Conference,G,6-0
2680,Sacred Heart University,Northeast Conference,F,5-11
2681,Sacred Heart University,Northeast Conference,G,5-6
2682,Sacred Heart University,Northeast Conference,F,6-0
2683,Sacred Heart University,Northeast Conference,G,5-9
2684,Sacred Heart University,Northeast Conference,G,5-8
2685,Sacred Heart University,Northeast Conference,G,5-8
2686,Sacramento State University,Big Sky Conference,G,5-7
2687,Sacramento State University,Big Sky Conference,G,5-6
2688,Sacramento State University,Big Sky Conference,G,5-8
2689,Sacramento State University,Big Sky Conference,G,5-11
2690,Sacramento State University,Big Sky Conference,G,5-8
2691,Sacramento State University,Big Sky Conference,F,6-1
2692,Sacramento State University,Big Sky Conference,G,5-4
2693,Sacramento State University,Big Sky Conference,F,6-1
2694,Sacramento State University,Big Sky Conference,F,5-11
2695,Sacramento State University,Big Sky Conference,F,5-8
2696,Sacramento State University,Big Sky Conference,G,5-3
2697,Sacramento State University,Big Sky Conference,F,6-0
2698,Sacramento State University,Big Sky Conference,G,5-7
2699,Sacramento State University,Big Sky Conference,G,5-7
2700,Sacramento State University,Big Sky Conference,G,5-8
2701,Sacramento State University,Big Sky Conference,G,5-6
2702,Utah State University,Mountain West Conference,F,6-3
2703,Utah State University,Mountain West Conference,F,6-2
2704,Utah State University,Mountain West Conference,F,6-0
2705,Utah State University,Mountain West Conference,F,5-10
2706,Utah State University,Mountain West Conference,F,6-4
2707,Utah State University,Mountain West Conference,C,6-4
2708,Utah State University,Mountain West Conference,G,5-9
2709,Utah State University,Mountain West Conference,F,6-0
2710,Utah State University,Mountain West Conference,G,5-10
2711,Utah State University,Mountain West Conference,G,5-7
2712,Utah State University,Mountain West Conference,G,5-7
2713,Utah State University,Mountain West Conference,G,5-9
2714,Utah State University,Mountain West Conference,G,5-7
2715,Utah State University,Mountain West Conference,F,6-1
2716,Utah State University,Mountain West Conference,F,6-1
2717,Utah State University,Mountain West Conference,F,6-2
2718,Utah State University,Mountain West Conference,G,5-11
2719,University of Utah,Pac-12 Conference,F,6-3
2720,University of Utah,Pac-12 Conference,F,6-1
2721,University of Utah,Pac-12 Conference,F,6-0
2722,University of Utah,Pac-12 Conference,G,5-9
2723,University of Utah,Pac-12 Conference,G,6-1
2724,University of Utah,Pac-12 Conference,C,6-4
2725,University of Utah,Pac-12 Conference,G,5-10
2726,University of Utah,Pac-12 Conference,F,6-1
2727,University of Utah,Pac-12 Conference,F,5-10
2728,University of Utah,Pac-12 Conference,G,5-9
2729,University of Utah,Pac-12 Conference,G,5-8
2730,University of Utah,Pac-12 Conference,F,6-5
2731,University of Utah,Pac-12 Conference,G,5-10
2732,University of Utah,Pac-12 Conference,F,6-3
2733,University of Utah,Pac-12 Conference,G,5-11
2734,UNLV,Mountain West Conference,F,6-0
2735,UNLV,Mountain West Conference,C,6-1
2736,UNLV,Mountain West Conference,C,6-1
2737,UNLV,Mountain West Conference,F,6-1
2738,UNLV,Mountain West Conference,G,5-6
2739,UNLV,Mountain West Conference,G,5-4
2740,UNLV,Mountain West Conference,G,6-0
2741,UNLV,Mountain West Conference,G,6-0
2742,UNLV,Mountain West Conference,G,5-11
2743,UNLV,Mountain West Conference,F,5-9
2744,UNLV,Mountain West Conference,G,5-8
2745,UNLV,Mountain West Conference,C,6-5
2746,UNLV,Mountain West Conference,F,6-0
2747,UNLV,Mountain West Conference,G,5-9
2748,UNLV,Mountain West Conference,G,5-5
2749,UNC Wilmington,Colonial Athletic Association,G,5-4
2750,UNC Wilmington,Colonial Athletic Association,C,6-1
2751,UNC Wilmington,Colonial Athletic Association,G,5-11
2752,UNC Wilmington,Colonial Athletic Association,G,5-6
2753,UNC Wilmington,Colonial Athletic Association,F,6-2
2754,UNC Wilmington,Colonial Athletic Association,F,6-3
2755,UNC Wilmington,Colonial Athletic Association,G,5-7
2756,UNC Wilmington,Colonial Athletic Association,G,5-8
2757,UNC Wilmington,Colonial Athletic Association,F,6-2
2758,UNC Wilmington,Colonial Athletic Association,G,5-8
2759,UNC Wilmington,Colonial Athletic Association,G,5-9
2760,UNC Wilmington,Colonial Athletic Association,G,5-1
2761,UNC Wilmington,Colonial Athletic Association,G,5-7
2762,UMKC,Western Athletic Conference,G,5-10
2763,UMKC,Western Athletic Conference,G,5-7
2764,UMKC,Western Athletic Conference,G,5-7
2765,UMKC,Western Athletic Conference,G,5-6
2766,UMKC,Western Athletic Conference,C,6-1
